Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke,Chrome 70.0.3538.77,,2018-11-13 10:30:59,2018-11-13 10:31:16,"17,229s",PASSED
,,,,,,
Test Cases/Logins test,Chrome 70.0.3538.77,,2018-11-13 10:30:59,2018-11-13 10:31:10,"10,413s",PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-13 10:31:00,2018-11-13 10:31:06,"6,607s",PASSED
setText,Chrome 70.0.3538.77,,2018-11-13 10:31:06,2018-11-13 10:31:08,"1,600s",PASSED
setText,Chrome 70.0.3538.77,,2018-11-13 10:31:08,2018-11-13 10:31:08,"0,235s",PASSED
click,Chrome 70.0.3538.77,,2018-11-13 10:31:08,2018-11-13 10:31:08,"0,141s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-11-13 10:31:08,2018-11-13 10:31:10,"1,211s",PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-11-13 10:31:10,2018-11-13 10:31:10,"0,177s",PASSED
,,,,,,
Test Cases/Logins test,Chrome 70.0.3538.77,,2018-11-13 10:31:10,2018-11-13 10:31:16,"6,306s",PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-13 10:31:10,2018-11-13 10:31:13,"3,502s",PASSED
setText,Chrome 70.0.3538.77,,2018-11-13 10:31:13,2018-11-13 10:31:15,"1,466s",PASSED
setText,Chrome 70.0.3538.77,,2018-11-13 10:31:15,2018-11-13 10:31:15,"0,214s",PASSED
click,Chrome 70.0.3538.77,,2018-11-13 10:31:15,2018-11-13 10:31:15,"0,101s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-11-13 10:31:15,2018-11-13 10:31:16,"0,836s",PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-11-13 10:31:16,2018-11-13 10:31:16,"0,166s",PASSED
