Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke,Chrome 70.0.3538.67,,2018-10-22 09:17:29,2018-10-22 09:18:30,"1m - 1,464s",PASSED
,,,,,,
Test Cases/Logins test,Chrome 70.0.3538.67,,2018-10-22 09:17:30,2018-10-22 09:17:49,"19,807s",PASSED
openBrowser,Chrome 70.0.3538.67,,2018-10-22 09:17:30,2018-10-22 09:17:42,"11,315s",PASSED
maximizeWindow,Chrome 70.0.3538.67,,2018-10-22 09:17:42,2018-10-22 09:17:42,"0,279s",PASSED
setText,Chrome 70.0.3538.67,,2018-10-22 09:17:42,2018-10-22 09:17:45,"3,182s",PASSED
setText,Chrome 70.0.3538.67,,2018-10-22 09:17:45,2018-10-22 09:17:46,"0,509s",PASSED
click,Chrome 70.0.3538.67,,2018-10-22 09:17:46,2018-10-22 09:17:46,"0,322s",PASSED
verifyElementVisible,Chrome 70.0.3538.67,,2018-10-22 09:17:46,2018-10-22 09:17:49,"3,242s",PASSED
closeBrowser,Chrome 70.0.3538.67,,2018-10-22 09:17:49,2018-10-22 09:17:49,"0,227s",PASSED
,,,,,,
Test Cases/Logins test,Chrome 70.0.3538.67,,2018-10-22 09:17:49,2018-10-22 09:18:10,"21,076s",PASSED
openBrowser,Chrome 70.0.3538.67,,2018-10-22 09:17:49,2018-10-22 09:18:02,"12,826s",PASSED
maximizeWindow,Chrome 70.0.3538.67,,2018-10-22 09:18:02,2018-10-22 09:18:02,"0,236s",PASSED
setText,Chrome 70.0.3538.67,,2018-10-22 09:18:02,2018-10-22 09:18:06,"3,084s",PASSED
setText,Chrome 70.0.3538.67,,2018-10-22 09:18:06,2018-10-22 09:18:06,"0,445s",PASSED
click,Chrome 70.0.3538.67,,2018-10-22 09:18:06,2018-10-22 09:18:06,"0,305s",PASSED
verifyElementVisible,Chrome 70.0.3538.67,,2018-10-22 09:18:06,2018-10-22 09:18:10,"4,001s",PASSED
closeBrowser,Chrome 70.0.3538.67,,2018-10-22 09:18:10,2018-10-22 09:18:10,"0,153s",PASSED
,,,,,,
Test Cases/Payments/Create new sundry account,Chrome 70.0.3538.67,,2018-10-22 09:18:10,2018-10-22 09:18:30,"19,125s",PASSED
callTestCase,Chrome 70.0.3538.67,,2018-10-22 09:18:12,2018-10-22 09:18:23,"11,202s",PASSED
click,Chrome 70.0.3538.67,,2018-10-22 09:18:23,2018-10-22 09:18:23,"0,191s",PASSED
click,Chrome 70.0.3538.67,,2018-10-22 09:18:23,2018-10-22 09:18:24,"0,350s",PASSED
click,Chrome 70.0.3538.67,,2018-10-22 09:18:24,2018-10-22 09:18:24,"0,308s",PASSED
click,Chrome 70.0.3538.67,,2018-10-22 09:18:24,2018-10-22 09:18:24,"0,464s",PASSED
Statement - ts = java.lang.System.currentTimeMillis() / 1000,Chrome 70.0.3538.67,,2018-10-22 09:18:24,2018-10-22 09:18:24,"0,016s",PASSED
Statement - tsAsString = ts.toString(),Chrome 70.0.3538.67,,2018-10-22 09:18:24,2018-10-22 09:18:24,"0,004s",PASSED
setText,Chrome 70.0.3538.67,,2018-10-22 09:18:24,2018-10-22 09:18:27,"2,466s",PASSED
"Statement - AccountName = ""QAA test Katalon - "" + tsAsString",Chrome 70.0.3538.67,,2018-10-22 09:18:27,2018-10-22 09:18:27,"0,001s",PASSED
selectOptionByValue,Chrome 70.0.3538.67,,2018-10-22 09:18:27,2018-10-22 09:18:27,"0,390s",PASSED
click,Chrome 70.0.3538.67,,2018-10-22 09:18:27,2018-10-22 09:18:28,"0,320s",PASSED
click,Chrome 70.0.3538.67,,2018-10-22 09:18:28,2018-10-22 09:18:28,"0,334s",PASSED
verifyElementText,Chrome 70.0.3538.67,,2018-10-22 09:18:28,2018-10-22 09:18:29,"1,318s",PASSED
verifyElementText,Chrome 70.0.3538.67,,2018-10-22 09:18:29,2018-10-22 09:18:29,"0,087s",PASSED
verifyElementText,Chrome 70.0.3538.67,,2018-10-22 09:18:29,2018-10-22 09:18:30,"0,185s",PASSED
