Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke,Chrome 70.0.3538.77,,2018-10-29 14:23:43,2018-10-29 14:24:06,"23,181s",PASSED
,,,,,,
Test Cases/Logins test,Chrome 70.0.3538.77,,2018-10-29 14:23:43,2018-10-29 14:23:56,"12,997s",PASSED
openBrowser,Chrome 70.0.3538.77,,2018-10-29 14:23:44,2018-10-29 14:23:51,"6,929s",PASSED
setText,Chrome 70.0.3538.77,,2018-10-29 14:23:51,2018-10-29 14:23:53,"2,581s",PASSED
setText,Chrome 70.0.3538.77,,2018-10-29 14:23:53,2018-10-29 14:23:54,"0,679s",PASSED
click,Chrome 70.0.3538.77,,2018-10-29 14:23:54,2018-10-29 14:23:54,"0,163s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-10-29 14:23:54,2018-10-29 14:23:56,"2,063s",PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-10-29 14:23:56,2018-10-29 14:23:56,"0,139s",PASSED
,,,,,,
Test Cases/Logins test,Chrome 70.0.3538.77,,2018-10-29 14:23:56,2018-10-29 14:24:06,"9,523s",PASSED
openBrowser,Chrome 70.0.3538.77,,2018-10-29 14:23:56,2018-10-29 14:24:01,"4,298s",PASSED
setText,Chrome 70.0.3538.77,,2018-10-29 14:24:01,2018-10-29 14:24:03,"2,515s",PASSED
setText,Chrome 70.0.3538.77,,2018-10-29 14:24:03,2018-10-29 14:24:04,"0,544s",PASSED
click,Chrome 70.0.3538.77,,2018-10-29 14:24:04,2018-10-29 14:24:04,"0,157s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-10-29 14:24:04,2018-10-29 14:24:06,"1,814s",PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-10-29 14:24:06,2018-10-29 14:24:06,"0,166s",PASSED
