Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke,Chrome 69.0.3497.100,,2018-10-16 17:39:27,2018-10-16 17:39:45,"18,648s",PASSED
,,,,,,
Test Cases/Login page check,Chrome 69.0.3497.100,,2018-10-16 17:39:27,2018-10-16 17:39:34,"6,874s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-16 17:39:28,2018-10-16 17:39:32,"4,808s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-16 17:39:32,2018-10-16 17:39:33,"0,245s",PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-16 17:39:33,2018-10-16 17:39:33,"0,735s",PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-16 17:39:33,2018-10-16 17:39:33,"0,059s",PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-16 17:39:33,2018-10-16 17:39:34,"0,075s",PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-16 17:39:34,2018-10-16 17:39:34,"0,060s",PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-16 17:39:34,2018-10-16 17:39:34,"0,067s",PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-16 17:39:34,2018-10-16 17:39:34,"0,062s",PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-16 17:39:34,2018-10-16 17:39:34,"0,065s",PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-16 17:39:34,2018-10-16 17:39:34,"0,046s",PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-16 17:39:34,2018-10-16 17:39:34,"0,041s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-16 17:39:34,2018-10-16 17:39:34,"0,112s",PASSED
,,,,,,
Test Cases/Logins test,Chrome 69.0.3497.100,,2018-10-16 17:39:34,2018-10-16 17:39:40,"5,831s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-16 17:39:34,2018-10-16 17:39:37,"2,555s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-16 17:39:37,2018-10-16 17:39:37,"0,236s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-16 17:39:37,2018-10-16 17:39:38,"1,171s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-16 17:39:38,2018-10-16 17:39:38,"0,221s",PASSED
click,Chrome 69.0.3497.100,,2018-10-16 17:39:38,2018-10-16 17:39:39,"0,131s",PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-16 17:39:39,2018-10-16 17:39:40,"1,198s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-16 17:39:40,2018-10-16 17:39:40,"0,089s",PASSED
,,,,,,
Test Cases/Logins test,Chrome 69.0.3497.100,,2018-10-16 17:39:40,2018-10-16 17:39:45,"5,435s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-16 17:39:40,2018-10-16 17:39:42,"2,397s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-16 17:39:42,2018-10-16 17:39:42,"0,223s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-16 17:39:42,2018-10-16 17:39:44,"1,150s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-16 17:39:44,2018-10-16 17:39:44,"0,225s",PASSED
click,Chrome 69.0.3497.100,,2018-10-16 17:39:44,2018-10-16 17:39:44,"0,111s",PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-16 17:39:44,2018-10-16 17:39:45,"1,222s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-16 17:39:45,2018-10-16 17:39:45,"0,094s",PASSED
