Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
API smoke,,,2018-10-24 20:15:45,2018-10-24 20:15:47,"1,628s",ERROR
,,,,,,
Test Cases/API/API test,,,2018-10-24 20:15:46,2018-10-24 20:15:47,"0,881s",ERROR
"Statement - resp = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(APIs/API request, [URLE:URLE]))",,,2018-10-24 20:15:46,2018-10-24 20:15:46,"0,241s",PASSED
verifyResponseStatusCode,,,2018-10-24 20:15:46,2018-10-24 20:15:46,"0,005s",PASSED
