Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Advanced,Chrome 70.0.3538.77,,2018-10-25 10:52:14,2018-10-25 10:54:36,"2m - 21,509s",PASSED
,,,,,,
Test Cases/Home page check,Chrome 70.0.3538.77,,2018-10-25 10:52:15,2018-10-25 10:52:27,"12,377s",PASSED
callTestCase,Chrome 70.0.3538.77,,2018-10-25 10:52:15,2018-10-25 10:52:26,"10,621s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-10-25 10:52:26,2018-10-25 10:52:26,"0,102s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-10-25 10:52:26,2018-10-25 10:52:26,"0,054s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-10-25 10:52:26,2018-10-25 10:52:26,"0,061s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-10-25 10:52:26,2018-10-25 10:52:26,"0,069s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-10-25 10:52:26,2018-10-25 10:52:26,"0,053s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-10-25 10:52:26,2018-10-25 10:52:26,"0,060s",PASSED
click,Chrome 70.0.3538.77,,2018-10-25 10:52:26,2018-10-25 10:52:27,"0,120s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-10-25 10:52:27,2018-10-25 10:52:27,"0,068s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-10-25 10:52:27,2018-10-25 10:52:27,"0,065s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-10-25 10:52:27,2018-10-25 10:52:27,"0,064s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-10-25 10:52:27,2018-10-25 10:52:27,"0,061s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-10-25 10:52:27,2018-10-25 10:52:27,"0,035s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-10-25 10:52:27,2018-10-25 10:52:27,"0,064s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-10-25 10:52:27,2018-10-25 10:52:27,"0,053s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-10-25 10:52:27,2018-10-25 10:52:27,"0,061s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-10-25 10:52:27,2018-10-25 10:52:27,"0,065s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-10-25 10:52:27,2018-10-25 10:52:27,"0,059s",PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-10-25 10:52:27,2018-10-25 10:52:27,"0,183s",PASSED
,,,,,,
Test Cases/Login page check,Chrome 70.0.3538.77,,2018-10-25 10:52:27,2018-10-25 10:52:33,"5,724s",PASSED
openBrowser,Chrome 70.0.3538.77,,2018-10-25 10:52:28,2018-10-25 10:52:31,"3,486s",PASSED
maximizeWindow,Chrome 70.0.3538.77,,2018-10-25 10:52:31,2018-10-25 10:52:32,"0,254s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-10-25 10:52:32,2018-10-25 10:52:32,"0,822s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-10-25 10:52:32,2018-10-25 10:52:33,"0,196s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-10-25 10:52:33,2018-10-25 10:52:33,"0,085s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-10-25 10:52:33,2018-10-25 10:52:33,"0,057s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-10-25 10:52:33,2018-10-25 10:52:33,"0,063s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-10-25 10:52:33,2018-10-25 10:52:33,"0,052s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-10-25 10:52:33,2018-10-25 10:52:33,"0,064s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-10-25 10:52:33,2018-10-25 10:52:33,"0,041s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-10-25 10:52:33,2018-10-25 10:52:33,"0,054s",PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-10-25 10:52:33,2018-10-25 10:52:33,"0,123s",PASSED
,,,,,,
Test Cases/Payments/Dashboard check,Chrome 70.0.3538.77,,2018-10-25 10:52:33,2018-10-25 10:52:43,"9,428s",PASSED
callTestCase,Chrome 70.0.3538.77,,2018-10-25 10:52:33,2018-10-25 10:52:41,"7,396s",PASSED
click,Chrome 70.0.3538.77,,2018-10-25 10:52:41,2018-10-25 10:52:41,"0,181s",PASSED
click,Chrome 70.0.3538.77,,2018-10-25 10:52:41,2018-10-25 10:52:41,"0,230s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-10-25 10:52:41,2018-10-25 10:52:41,"0,142s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-10-25 10:52:41,2018-10-25 10:52:41,"0,045s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-10-25 10:52:41,2018-10-25 10:52:41,"0,049s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-10-25 10:52:41,2018-10-25 10:52:42,"0,045s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-10-25 10:52:42,2018-10-25 10:52:42,"0,037s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-10-25 10:52:42,2018-10-25 10:52:42,"0,047s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-10-25 10:52:42,2018-10-25 10:52:42,"0,041s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-10-25 10:52:42,2018-10-25 10:52:42,"0,041s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-10-25 10:52:42,2018-10-25 10:52:42,"0,047s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-10-25 10:52:42,2018-10-25 10:52:42,"0,036s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-10-25 10:52:42,2018-10-25 10:52:42,"0,042s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-10-25 10:52:42,2018-10-25 10:52:42,"0,045s",PASSED
