Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke,Firefox 61.0,,2018-10-22 09:17:32,2018-10-22 09:18:36,"1m - 4,108s",PASSED
,,,,,,
Test Cases/Logins test,Firefox 61.0,,2018-10-22 09:17:33,2018-10-22 09:17:57,"24,191s",PASSED
openBrowser,Firefox 61.0,,2018-10-22 09:17:34,2018-10-22 09:17:48,"14,224s",PASSED
maximizeWindow,Firefox 61.0,,2018-10-22 09:17:48,2018-10-22 09:17:49,"0,449s",PASSED
setText,Firefox 61.0,,2018-10-22 09:17:49,2018-10-22 09:17:51,"2,606s",PASSED
setText,Firefox 61.0,,2018-10-22 09:17:51,2018-10-22 09:17:52,"0,249s",PASSED
click,Firefox 61.0,,2018-10-22 09:17:52,2018-10-22 09:17:52,"0,513s",PASSED
verifyElementVisible,Firefox 61.0,,2018-10-22 09:17:52,2018-10-22 09:17:57,"4,508s",PASSED
closeBrowser,Firefox 61.0,,2018-10-22 09:17:57,2018-10-22 09:17:57,"0,601s",PASSED
,,,,,,
Test Cases/Logins test,Firefox 61.0,,2018-10-22 09:17:57,2018-10-22 09:18:14,"16,811s",PASSED
openBrowser,Firefox 61.0,,2018-10-22 09:17:57,2018-10-22 09:18:06,"8,746s",PASSED
maximizeWindow,Firefox 61.0,,2018-10-22 09:18:06,2018-10-22 09:18:07,"0,448s",PASSED
setText,Firefox 61.0,,2018-10-22 09:18:07,2018-10-22 09:18:09,"2,359s",PASSED
setText,Firefox 61.0,,2018-10-22 09:18:09,2018-10-22 09:18:09,"0,481s",PASSED
click,Firefox 61.0,,2018-10-22 09:18:09,2018-10-22 09:18:10,"0,465s",PASSED
verifyElementVisible,Firefox 61.0,,2018-10-22 09:18:10,2018-10-22 09:18:14,"3,880s",PASSED
closeBrowser,Firefox 61.0,,2018-10-22 09:18:14,2018-10-22 09:18:14,"0,395s",PASSED
,,,,,,
Test Cases/Payments/Create new sundry account,Firefox 61.0,,2018-10-22 09:18:14,2018-10-22 09:18:35,"21,183s",PASSED
callTestCase,Firefox 61.0,,2018-10-22 09:18:15,2018-10-22 09:18:30,"15,102s",PASSED
click,Firefox 61.0,,2018-10-22 09:18:30,2018-10-22 09:18:31,"0,401s",PASSED
click,Firefox 61.0,,2018-10-22 09:18:31,2018-10-22 09:18:31,"0,726s",PASSED
click,Firefox 61.0,,2018-10-22 09:18:31,2018-10-22 09:18:32,"0,545s",PASSED
click,Firefox 61.0,,2018-10-22 09:18:32,2018-10-22 09:18:32,"0,381s",PASSED
Statement - ts = java.lang.System.currentTimeMillis() / 1000,Firefox 61.0,,2018-10-22 09:18:32,2018-10-22 09:18:32,"0,013s",PASSED
Statement - tsAsString = ts.toString(),Firefox 61.0,,2018-10-22 09:18:32,2018-10-22 09:18:32,"0,002s",PASSED
setText,Firefox 61.0,,2018-10-22 09:18:32,2018-10-22 09:18:33,"0,740s",PASSED
"Statement - AccountName = ""QAA test Katalon - "" + tsAsString",Firefox 61.0,,2018-10-22 09:18:33,2018-10-22 09:18:33,"0,000s",PASSED
selectOptionByValue,Firefox 61.0,,2018-10-22 09:18:33,2018-10-22 09:18:34,"0,598s",PASSED
click,Firefox 61.0,,2018-10-22 09:18:34,2018-10-22 09:18:34,"0,273s",PASSED
click,Firefox 61.0,,2018-10-22 09:18:34,2018-10-22 09:18:34,"0,463s",PASSED
verifyElementText,Firefox 61.0,,2018-10-22 09:18:34,2018-10-22 09:18:35,"0,751s",PASSED
verifyElementText,Firefox 61.0,,2018-10-22 09:18:35,2018-10-22 09:18:35,"0,068s",PASSED
verifyElementText,Firefox 61.0,,2018-10-22 09:18:35,2018-10-22 09:18:35,"0,047s",PASSED
