Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Advanced,Chrome 70.0.3538.67,,2018-10-24 16:58:52,2018-10-24 16:59:48,"56,238s",PASSED
,,,,,,
Test Cases/Payments/SmartPayment,Chrome 70.0.3538.67,,2018-10-24 16:58:53,2018-10-24 16:59:15,"22,188s",PASSED
callTestCase,Chrome 70.0.3538.67,,2018-10-24 16:58:54,2018-10-24 16:59:07,"13,311s",PASSED
click,Chrome 70.0.3538.67,,2018-10-24 16:59:07,2018-10-24 16:59:07,"0,078s",PASSED
click,Chrome 70.0.3538.67,,2018-10-24 16:59:07,2018-10-24 16:59:07,"0,169s",PASSED
setText,Chrome 70.0.3538.67,,2018-10-24 16:59:07,2018-10-24 16:59:08,"0,781s",PASSED
setText,Chrome 70.0.3538.67,,2018-10-24 16:59:08,2018-10-24 16:59:08,"0,434s",PASSED
setText,Chrome 70.0.3538.67,,2018-10-24 16:59:08,2018-10-24 16:59:09,"0,230s",PASSED
delay,Chrome 70.0.3538.67,,2018-10-24 16:59:09,2018-10-24 16:59:10,"1,025s",PASSED
click,Chrome 70.0.3538.67,,2018-10-24 16:59:10,2018-10-24 16:59:10,"0,211s",PASSED
"Statement - If (CountryStep1 == ""Czech Republic"")",Chrome 70.0.3538.67,,2018-10-24 16:59:10,2018-10-24 16:59:10,"0,001s",PASSED
"Statement - Else If (CountryStep1 == ""Bulgaria"")",Chrome 70.0.3538.67,,2018-10-24 16:59:10,2018-10-24 16:59:10,"0,001s",PASSED
Statement - Else,Chrome 70.0.3538.67,,2018-10-24 16:59:10,2018-10-24 16:59:14,"4,438s",PASSED
click,Chrome 70.0.3538.67,,2018-10-24 16:59:14,2018-10-24 16:59:14,"0,116s",PASSED
click,Chrome 70.0.3538.67,,2018-10-24 16:59:14,2018-10-24 16:59:15,"0,613s",PASSED
verifyElementVisible,Chrome 70.0.3538.67,,2018-10-24 16:59:15,2018-10-24 16:59:15,"0,045s",PASSED
,,,,,,
Test Cases/Payments/SmartPayment,Chrome 70.0.3538.67,,2018-10-24 16:59:15,2018-10-24 16:59:31,"16,322s",PASSED
callTestCase,Chrome 70.0.3538.67,,2018-10-24 16:59:15,2018-10-24 16:59:25,"9,918s",PASSED
click,Chrome 70.0.3538.67,,2018-10-24 16:59:25,2018-10-24 16:59:25,"0,066s",PASSED
click,Chrome 70.0.3538.67,,2018-10-24 16:59:25,2018-10-24 16:59:25,"0,169s",PASSED
setText,Chrome 70.0.3538.67,,2018-10-24 16:59:25,2018-10-24 16:59:26,"1,154s",PASSED
setText,Chrome 70.0.3538.67,,2018-10-24 16:59:26,2018-10-24 16:59:27,"0,308s",PASSED
setText,Chrome 70.0.3538.67,,2018-10-24 16:59:27,2018-10-24 16:59:27,"0,230s",PASSED
delay,Chrome 70.0.3538.67,,2018-10-24 16:59:27,2018-10-24 16:59:28,"1,007s",PASSED
click,Chrome 70.0.3538.67,,2018-10-24 16:59:28,2018-10-24 16:59:28,"0,329s",PASSED
"Statement - If (CountryStep1 == ""Czech Republic"")",Chrome 70.0.3538.67,,2018-10-24 16:59:28,2018-10-24 16:59:31,"2,294s",PASSED
click,Chrome 70.0.3538.67,,2018-10-24 16:59:31,2018-10-24 16:59:31,"0,107s",PASSED
click,Chrome 70.0.3538.67,,2018-10-24 16:59:31,2018-10-24 16:59:31,"0,611s",PASSED
verifyElementVisible,Chrome 70.0.3538.67,,2018-10-24 16:59:31,2018-10-24 16:59:31,"0,045s",PASSED
,,,,,,
Test Cases/Payments/SmartPayment,Chrome 70.0.3538.67,,2018-10-24 16:59:31,2018-10-24 16:59:48,"16,899s",PASSED
callTestCase,Chrome 70.0.3538.67,,2018-10-24 16:59:31,2018-10-24 16:59:41,"9,421s",PASSED
click,Chrome 70.0.3538.67,,2018-10-24 16:59:41,2018-10-24 16:59:41,"0,072s",PASSED
click,Chrome 70.0.3538.67,,2018-10-24 16:59:41,2018-10-24 16:59:41,"0,168s",PASSED
setText,Chrome 70.0.3538.67,,2018-10-24 16:59:41,2018-10-24 16:59:42,"0,940s",PASSED
setText,Chrome 70.0.3538.67,,2018-10-24 16:59:42,2018-10-24 16:59:42,"0,410s",PASSED
setText,Chrome 70.0.3538.67,,2018-10-24 16:59:42,2018-10-24 16:59:43,"0,218s",PASSED
delay,Chrome 70.0.3538.67,,2018-10-24 16:59:43,2018-10-24 16:59:44,"1,004s",PASSED
click,Chrome 70.0.3538.67,,2018-10-24 16:59:44,2018-10-24 16:59:44,"0,207s",PASSED
"Statement - If (CountryStep1 == ""Czech Republic"")",Chrome 70.0.3538.67,,2018-10-24 16:59:44,2018-10-24 16:59:44,"0,001s",PASSED
"Statement - Else If (CountryStep1 == ""Bulgaria"")",Chrome 70.0.3538.67,,2018-10-24 16:59:44,2018-10-24 16:59:47,"3,609s",PASSED
click,Chrome 70.0.3538.67,,2018-10-24 16:59:47,2018-10-24 16:59:48,"0,122s",PASSED
click,Chrome 70.0.3538.67,,2018-10-24 16:59:48,2018-10-24 16:59:48,"0,640s",PASSED
verifyElementVisible,Chrome 70.0.3538.67,,2018-10-24 16:59:48,2018-10-24 16:59:48,"0,055s",PASSED
