Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke,Firefox 61.0,,2018-10-29 14:29:22,2018-10-29 14:29:52,"29,876s",FAILED
,,,,,,
Test Cases/Logins test,Firefox 61.0,,2018-10-29 14:29:23,2018-10-29 14:29:38,"15,431s",FAILED
openBrowser,Firefox 61.0,,2018-10-29 14:29:23,2018-10-29 14:29:28,"4,555s",PASSED
setText,Firefox 61.0,,2018-10-29 14:29:28,2018-10-29 14:29:38,"10,496s",FAILED
,,,,,,
Test Cases/Logins test,Firefox 61.0,,2018-10-29 14:29:38,2018-10-29 14:29:52,"13,843s",FAILED
openBrowser,Firefox 61.0,,2018-10-29 14:29:38,2018-10-29 14:29:42,"3,517s",PASSED
setText,Firefox 61.0,,2018-10-29 14:29:42,2018-10-29 14:29:52,"10,304s",FAILED
