Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke,Firefox 61.0,,2018-10-16 17:29:35,2018-10-16 17:30:04,"28,740s",FAILED
,,,,,,
Test Cases/Login page check,Firefox 61.0,,2018-10-16 17:29:35,2018-10-16 17:29:38,"3,109s",FAILED
openBrowser,Firefox 61.0,,2018-10-16 17:29:36,2018-10-16 17:29:38,"2,527s",FAILED
,,,,,,
Test Cases/Logins test,Firefox 61.0,,2018-10-16 17:29:38,2018-10-16 17:29:52,"13,165s",PASSED
openBrowser,Firefox 61.0,,2018-10-16 17:29:39,2018-10-16 17:29:47,"7,824s",PASSED
maximizeWindow,Firefox 61.0,,2018-10-16 17:29:47,2018-10-16 17:29:47,"0,594s",PASSED
setText,Firefox 61.0,,2018-10-16 17:29:47,2018-10-16 17:29:49,"1,408s",PASSED
setText,Firefox 61.0,,2018-10-16 17:29:49,2018-10-16 17:29:49,"0,303s",PASSED
click,Firefox 61.0,,2018-10-16 17:29:49,2018-10-16 17:29:49,"0,481s",PASSED
verifyElementVisible,Firefox 61.0,,2018-10-16 17:29:49,2018-10-16 17:29:51,"1,809s",PASSED
closeBrowser,Firefox 61.0,,2018-10-16 17:29:51,2018-10-16 17:29:52,"0,406s",PASSED
,,,,,,
Test Cases/Logins test,Firefox 61.0,,2018-10-16 17:29:52,2018-10-16 17:30:04,"11,949s",PASSED
openBrowser,Firefox 61.0,,2018-10-16 17:29:52,2018-10-16 17:29:58,"6,577s",PASSED
maximizeWindow,Firefox 61.0,,2018-10-16 17:29:58,2018-10-16 17:29:59,"0,800s",PASSED
setText,Firefox 61.0,,2018-10-16 17:29:59,2018-10-16 17:30:00,"1,371s",PASSED
setText,Firefox 61.0,,2018-10-16 17:30:00,2018-10-16 17:30:01,"0,455s",PASSED
click,Firefox 61.0,,2018-10-16 17:30:01,2018-10-16 17:30:01,"0,332s",PASSED
verifyElementVisible,Firefox 61.0,,2018-10-16 17:30:01,2018-10-16 17:30:03,"1,889s",PASSED
closeBrowser,Firefox 61.0,,2018-10-16 17:30:03,2018-10-16 17:30:04,"0,500s",PASSED
