Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
API smoke,,,2018-11-13 10:31:19,2018-11-13 10:31:22,"3,540s",FAILED
,,,,,,
Test Cases/API/API test,,,2018-11-13 10:31:19,2018-11-13 10:31:21,"1,827s",PASSED
"Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(APIs/API request, [URLE:URLE]))",,,2018-11-13 10:31:20,2018-11-13 10:31:21,"1,400s",PASSED
verifyResponseStatusCode,,,2018-11-13 10:31:21,2018-11-13 10:31:21,"0,015s",PASSED
,,,,,,
Test Cases/API/API test,,,2018-11-13 10:31:21,2018-11-13 10:31:21,"0,069s",PASSED
"Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(APIs/API request, [URLE:URLE]))",,,2018-11-13 10:31:21,2018-11-13 10:31:21,"0,053s",PASSED
verifyResponseStatusCode,,,2018-11-13 10:31:21,2018-11-13 10:31:21,"0,003s",PASSED
,,,,,,
Test Cases/API/API test,,,2018-11-13 10:31:21,2018-11-13 10:31:21,"0,054s",FAILED
"Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(APIs/API request, [URLE:URLE]))",,,2018-11-13 10:31:21,2018-11-13 10:31:21,"0,040s",FAILED
,,,,,,
Test Cases/API/API test,,,2018-11-13 10:31:21,2018-11-13 10:31:21,"0,019s",FAILED
"Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(APIs/API request, [URLE:URLE]))",,,2018-11-13 10:31:21,2018-11-13 10:31:21,"0,007s",FAILED
,,,,,,
Test Cases/API/API test,,,2018-11-13 10:31:21,2018-11-13 10:31:21,"0,025s",FAILED
"Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(APIs/API request, [URLE:URLE]))",,,2018-11-13 10:31:21,2018-11-13 10:31:21,"0,015s",FAILED
,,,,,,
Test Cases/API/API test,,,2018-11-13 10:31:21,2018-11-13 10:31:21,"0,034s",FAILED
"Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(APIs/API request, [URLE:URLE]))",,,2018-11-13 10:31:21,2018-11-13 10:31:21,"0,019s",FAILED
,,,,,,
Test Cases/API/API test,,,2018-11-13 10:31:21,2018-11-13 10:31:21,"0,026s",FAILED
"Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(APIs/API request, [URLE:URLE]))",,,2018-11-13 10:31:21,2018-11-13 10:31:21,"0,006s",FAILED
,,,,,,
Test Cases/API/API test,,,2018-11-13 10:31:21,2018-11-13 10:31:21,"0,032s",FAILED
"Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(APIs/API request, [URLE:URLE]))",,,2018-11-13 10:31:21,2018-11-13 10:31:21,"0,015s",FAILED
,,,,,,
Test Cases/API/API test,,,2018-11-13 10:31:21,2018-11-13 10:31:21,"0,026s",FAILED
"Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(APIs/API request, [URLE:URLE]))",,,2018-11-13 10:31:21,2018-11-13 10:31:21,"0,011s",FAILED
,,,,,,
Test Cases/API/API test,,,2018-11-13 10:31:21,2018-11-13 10:31:21,"0,020s",FAILED
