Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
API,,,2018-10-17 13:41:00,2018-10-17 13:41:02,"1,264s",FAILED
,,,,,,
Test Cases/API/API smoke,,,2018-10-17 13:41:01,2018-10-17 13:41:01,"0,501s",FAILED
sendRequestAndVerify,,,2018-10-17 13:41:01,2018-10-17 13:41:01,"0,073s",FAILED
,,,,,,
Test Cases/API/API smoke,,,2018-10-17 13:41:01,2018-10-17 13:41:01,"0,021s",FAILED
sendRequestAndVerify,,,2018-10-17 13:41:01,2018-10-17 13:41:01,"0,006s",FAILED
,,,,,,
Test Cases/API/API smoke,,,2018-10-17 13:41:01,2018-10-17 13:41:01,"0,023s",FAILED
sendRequestAndVerify,,,2018-10-17 13:41:01,2018-10-17 13:41:01,"0,007s",FAILED
