Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Advanced,Chrome 70.0.3538.77,,2018-11-13 10:28:27,2018-11-13 10:30:54,"2m - 27,618s",FAILED
,,,,,,
Test Cases/Home page check,Chrome 70.0.3538.77,,2018-11-13 10:28:27,2018-11-13 10:28:40,"12,837s",PASSED
callTestCase,Chrome 70.0.3538.77,,2018-11-13 10:28:28,2018-11-13 10:28:39,"10,998s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-11-13 10:28:39,2018-11-13 10:28:39,"0,083s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-11-13 10:28:39,2018-11-13 10:28:39,"0,046s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-11-13 10:28:39,2018-11-13 10:28:39,"0,061s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-11-13 10:28:39,2018-11-13 10:28:39,"0,069s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-11-13 10:28:39,2018-11-13 10:28:39,"0,075s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-11-13 10:28:39,2018-11-13 10:28:39,"0,095s",PASSED
click,Chrome 70.0.3538.77,,2018-11-13 10:28:39,2018-11-13 10:28:39,"0,143s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-11-13 10:28:39,2018-11-13 10:28:39,"0,067s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-11-13 10:28:39,2018-11-13 10:28:40,"0,069s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-11-13 10:28:40,2018-11-13 10:28:40,"0,063s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-11-13 10:28:40,2018-11-13 10:28:40,"0,060s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-11-13 10:28:40,2018-11-13 10:28:40,"0,039s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-11-13 10:28:40,2018-11-13 10:28:40,"0,066s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-11-13 10:28:40,2018-11-13 10:28:40,"0,062s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-11-13 10:28:40,2018-11-13 10:28:40,"0,063s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-11-13 10:28:40,2018-11-13 10:28:40,"0,059s",PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-11-13 10:28:40,2018-11-13 10:28:40,"0,170s",PASSED
,,,,,,
Test Cases/Login page check,Chrome 70.0.3538.77,,2018-11-13 10:28:40,2018-11-13 10:28:46,"6,204s",PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-13 10:28:41,2018-11-13 10:28:45,"4,214s",PASSED
maximizeWindow,Chrome 70.0.3538.77,,2018-11-13 10:28:45,2018-11-13 10:28:45,"0,280s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-11-13 10:28:45,2018-11-13 10:28:46,"0,718s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-11-13 10:28:46,2018-11-13 10:28:46,"0,082s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-11-13 10:28:46,2018-11-13 10:28:46,"0,048s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-11-13 10:28:46,2018-11-13 10:28:46,"0,061s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-11-13 10:28:46,2018-11-13 10:28:46,"0,052s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-11-13 10:28:46,2018-11-13 10:28:46,"0,078s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-11-13 10:28:46,2018-11-13 10:28:46,"0,046s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-11-13 10:28:46,2018-11-13 10:28:46,"0,042s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-11-13 10:28:46,2018-11-13 10:28:46,"0,055s",PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-11-13 10:28:46,2018-11-13 10:28:46,"0,157s",PASSED
,,,,,,
Test Cases/Payments/Dashboard check,Chrome 70.0.3538.77,,2018-11-13 10:28:46,2018-11-13 10:28:54,"8,116s",PASSED
callTestCase,Chrome 70.0.3538.77,,2018-11-13 10:28:47,2018-11-13 10:28:53,"6,404s",PASSED
click,Chrome 70.0.3538.77,,2018-11-13 10:28:53,2018-11-13 10:28:53,"0,096s",PASSED
click,Chrome 70.0.3538.77,,2018-11-13 10:28:53,2018-11-13 10:28:53,"0,235s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-11-13 10:28:53,2018-11-13 10:28:53,"0,061s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-11-13 10:28:53,2018-11-13 10:28:54,"0,050s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-11-13 10:28:54,2018-11-13 10:28:54,"0,041s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-11-13 10:28:54,2018-11-13 10:28:54,"0,037s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-11-13 10:28:54,2018-11-13 10:28:54,"0,034s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-11-13 10:28:54,2018-11-13 10:28:54,"0,035s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-11-13 10:28:54,2018-11-13 10:28:54,"0,042s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-11-13 10:28:54,2018-11-13 10:28:54,"0,043s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-11-13 10:28:54,2018-11-13 10:28:54,"0,048s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-11-13 10:28:54,2018-11-13 10:28:54,"0,039s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-11-13 10:28:54,2018-11-13 10:28:54,"0,042s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-11-13 10:28:54,2018-11-13 10:28:54,"0,050s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-11-13 10:28:54,2018-11-13 10:28:54,"0,045s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-11-13 10:28:54,2018-11-13 10:28:54,"0,042s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-11-13 10:28:54,2018-11-13 10:28:54,"0,037s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-11-13 10:28:54,2018-11-13 10:28:54,"0,038s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-11-13 10:28:54,2018-11-13 10:28:54,"0,037s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-11-13 10:28:54,2018-11-13 10:28:54,"0,040s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-11-13 10:28:54,2018-11-13 10:28:54,"0,035s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-11-13 10:28:54,2018-11-13 10:28:54,"0,034s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-11-13 10:28:54,2018-11-13 10:28:54,"0,037s",PASSED
