Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
API,,,2018-10-17 15:53:21,2018-10-17 15:53:23,"1,936s",ERROR
,,,,,,
Test Cases/API/API smoke,,,2018-10-17 15:53:21,2018-10-17 15:53:22,"0,842s",ERROR
"Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(APIs/API test, [Prefix:Prefix, URL:URLE]))",,,2018-10-17 15:53:22,2018-10-17 15:53:22,"0,431s",PASSED
verifyResponseStatusCode,,,2018-10-17 15:53:22,2018-10-17 15:53:22,"0,003s",PASSED
,,,,,,
Test Cases/API/API smoke,,,2018-10-17 15:53:22,2018-10-17 15:53:22,"0,136s",ERROR
"Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(APIs/API test, [Prefix:Prefix, URL:URLE]))",,,2018-10-17 15:53:22,2018-10-17 15:53:22,"0,111s",PASSED
verifyResponseStatusCode,,,2018-10-17 15:53:22,2018-10-17 15:53:22,"0,001s",PASSED
,,,,,,
Test Cases/API/API smoke,,,2018-10-17 15:53:22,2018-10-17 15:53:23,"0,162s",ERROR
"Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(APIs/API test, [Prefix:Prefix, URL:URLE]))",,,2018-10-17 15:53:22,2018-10-17 15:53:23,"0,146s",PASSED
verifyResponseStatusCode,,,2018-10-17 15:53:23,2018-10-17 15:53:23,"0,001s",PASSED
