Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke,Chrome 69.0.3497.100,,2018-10-22 14:25:12,2018-10-22 14:26:22,"1m - 10,967s",FAILED
,,,,,,
Test Cases/Logins test,Chrome 69.0.3497.100,,2018-10-22 14:25:12,2018-10-22 14:25:38,"25,976s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-22 14:25:13,2018-10-22 14:25:31,"17,967s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-22 14:25:31,2018-10-22 14:25:34,"3,094s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-22 14:25:34,2018-10-22 14:25:34,"0,821s",PASSED
click,Chrome 69.0.3497.100,,2018-10-22 14:25:34,2018-10-22 14:25:35,"0,660s",PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-22 14:25:35,2018-10-22 14:25:37,"2,214s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-22 14:25:37,2018-10-22 14:25:38,"0,790s",PASSED
,,,,,,
Test Cases/Logins test,Chrome 69.0.3497.100,,2018-10-22 14:25:38,2018-10-22 14:25:59,"21,022s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-22 14:25:38,2018-10-22 14:25:53,"14,417s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-22 14:25:53,2018-10-22 14:25:55,"2,843s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-22 14:25:55,2018-10-22 14:25:56,"0,689s",PASSED
click,Chrome 69.0.3497.100,,2018-10-22 14:25:56,2018-10-22 14:25:57,"0,564s",PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-22 14:25:57,2018-10-22 14:25:58,"1,715s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-22 14:25:58,2018-10-22 14:25:59,"0,776s",PASSED
,,,,,,
Test Cases/Payments/Create new sundry account,Chrome 69.0.3497.100,,2018-10-22 14:25:59,2018-10-22 14:26:22,"22,496s",FAILED
callTestCase,Chrome 69.0.3497.100,,2018-10-22 14:25:59,2018-10-22 14:26:21,"21,127s",PASSED
click,Chrome 69.0.3497.100,,2018-10-22 14:26:21,2018-10-22 14:26:22,"1,083s",FAILED
