Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
API,,,2018-10-24 17:54:52,2018-10-24 17:55:00,"8,019s",FAILED
,,,,,,
Test Cases/API/API smoke,,,2018-10-24 17:54:53,2018-10-24 17:54:53,"0,805s",FAILED
"Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(APIs/API test, [Prefix:Prefix, URL:URLE]))",,,2018-10-24 17:54:53,2018-10-24 17:54:53,"0,306s",PASSED
verifyResponseStatusCode,,,2018-10-24 17:54:53,2018-10-24 17:54:53,"0,021s",FAILED
,,,,,,
Test Cases/API/API smoke,,,2018-10-24 17:54:53,2018-10-24 17:54:53,"0,087s",FAILED
"Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(APIs/API test, [Prefix:Prefix, URL:URLE]))",,,2018-10-24 17:54:53,2018-10-24 17:54:53,"0,061s",PASSED
verifyResponseStatusCode,,,2018-10-24 17:54:53,2018-10-24 17:54:53,"0,003s",FAILED
,,,,,,
Test Cases/API/API smoke,,,2018-10-24 17:54:53,2018-10-24 17:54:54,"0,192s",FAILED
"Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(APIs/API test, [Prefix:Prefix, URL:URLE]))",,,2018-10-24 17:54:53,2018-10-24 17:54:54,"0,173s",PASSED
verifyResponseStatusCode,,,2018-10-24 17:54:54,2018-10-24 17:54:54,"0,003s",FAILED
,,,,,,
Test Cases/API/API smoke,,,2018-10-24 17:54:54,2018-10-24 17:54:54,"0,091s",FAILED
"Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(APIs/API test, [Prefix:Prefix, URL:URLE]))",,,2018-10-24 17:54:54,2018-10-24 17:54:54,"0,067s",PASSED
verifyResponseStatusCode,,,2018-10-24 17:54:54,2018-10-24 17:54:54,"0,004s",FAILED
,,,,,,
Test Cases/API/API smoke,,,2018-10-24 17:54:54,2018-10-24 17:54:54,"0,074s",FAILED
"Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(APIs/API test, [Prefix:Prefix, URL:URLE]))",,,2018-10-24 17:54:54,2018-10-24 17:54:54,"0,052s",PASSED
verifyResponseStatusCode,,,2018-10-24 17:54:54,2018-10-24 17:54:54,"0,004s",FAILED
,,,,,,
Test Cases/API/API smoke,,,2018-10-24 17:54:54,2018-10-24 17:54:54,"0,091s",FAILED
"Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(APIs/API test, [Prefix:Prefix, URL:URLE]))",,,2018-10-24 17:54:54,2018-10-24 17:54:54,"0,074s",PASSED
verifyResponseStatusCode,,,2018-10-24 17:54:54,2018-10-24 17:54:54,"0,004s",FAILED
,,,,,,
Test Cases/API/API smoke,,,2018-10-24 17:54:54,2018-10-24 17:54:54,"0,077s",FAILED
"Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(APIs/API test, [Prefix:Prefix, URL:URLE]))",,,2018-10-24 17:54:54,2018-10-24 17:54:54,"0,061s",PASSED
verifyResponseStatusCode,,,2018-10-24 17:54:54,2018-10-24 17:54:54,"0,003s",FAILED
,,,,,,
Test Cases/API/API smoke,,,2018-10-24 17:54:54,2018-10-24 17:54:54,"0,069s",FAILED
"Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(APIs/API test, [Prefix:Prefix, URL:URLE]))",,,2018-10-24 17:54:54,2018-10-24 17:54:54,"0,057s",PASSED
verifyResponseStatusCode,,,2018-10-24 17:54:54,2018-10-24 17:54:54,"0,002s",FAILED
,,,,,,
Test Cases/API/API smoke,,,2018-10-24 17:54:54,2018-10-24 17:54:54,"0,067s",FAILED
"Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(APIs/API test, [Prefix:Prefix, URL:URLE]))",,,2018-10-24 17:54:54,2018-10-24 17:54:54,"0,054s",PASSED
verifyResponseStatusCode,,,2018-10-24 17:54:54,2018-10-24 17:54:54,"0,002s",FAILED
,,,,,,
Test Cases/API/API smoke,,,2018-10-24 17:54:54,2018-10-24 17:54:54,"0,073s",FAILED
"Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(APIs/API test, [Prefix:Prefix, URL:URLE]))",,,2018-10-24 17:54:54,2018-10-24 17:54:54,"0,053s",PASSED
verifyResponseStatusCode,,,2018-10-24 17:54:54,2018-10-24 17:54:54,"0,007s",FAILED
,,,,,,
Test Cases/API/API smoke,,,2018-10-24 17:54:54,2018-10-24 17:54:54,"0,064s",FAILED
"Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(APIs/API test, [Prefix:Prefix, URL:URLE]))",,,2018-10-24 17:54:54,2018-10-24 17:54:54,"0,052s",PASSED
verifyResponseStatusCode,,,2018-10-24 17:54:54,2018-10-24 17:54:54,"0,002s",FAILED
,,,,,,
Test Cases/API/API smoke,,,2018-10-24 17:54:54,2018-10-24 17:54:54,"0,186s",FAILED
"Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(APIs/API test, [Prefix:Prefix, URL:URLE]))",,,2018-10-24 17:54:54,2018-10-24 17:54:54,"0,169s",PASSED
verifyResponseStatusCode,,,2018-10-24 17:54:54,2018-10-24 17:54:54,"0,002s",FAILED
,,,,,,
Test Cases/API/API smoke,,,2018-10-24 17:54:54,2018-10-24 17:54:55,"0,298s",FAILED
"Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(APIs/API test, [Prefix:Prefix, URL:URLE]))",,,2018-10-24 17:54:54,2018-10-24 17:54:55,"0,280s",PASSED
verifyResponseStatusCode,,,2018-10-24 17:54:55,2018-10-24 17:54:55,"0,003s",FAILED
,,,,,,
Test Cases/API/API smoke,,,2018-10-24 17:54:55,2018-10-24 17:54:55,"0,316s",FAILED
"Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(APIs/API test, [Prefix:Prefix, URL:URLE]))",,,2018-10-24 17:54:55,2018-10-24 17:54:55,"0,301s",PASSED
verifyResponseStatusCode,,,2018-10-24 17:54:55,2018-10-24 17:54:55,"0,002s",FAILED
,,,,,,
Test Cases/API/API smoke,,,2018-10-24 17:54:55,2018-10-24 17:54:55,"0,356s",FAILED
"Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(APIs/API test, [Prefix:Prefix, URL:URLE]))",,,2018-10-24 17:54:55,2018-10-24 17:54:55,"0,339s",PASSED
verifyResponseStatusCode,,,2018-10-24 17:54:55,2018-10-24 17:54:55,"0,002s",FAILED
,,,,,,
Test Cases/API/API smoke,,,2018-10-24 17:54:55,2018-10-24 17:54:56,"0,183s",FAILED
"Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(APIs/API test, [Prefix:Prefix, URL:URLE]))",,,2018-10-24 17:54:55,2018-10-24 17:54:56,"0,168s",PASSED
verifyResponseStatusCode,,,2018-10-24 17:54:56,2018-10-24 17:54:56,"0,004s",FAILED
,,,,,,
Test Cases/API/API smoke,,,2018-10-24 17:54:56,2018-10-24 17:54:56,"0,303s",FAILED
"Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(APIs/API test, [Prefix:Prefix, URL:URLE]))",,,2018-10-24 17:54:56,2018-10-24 17:54:56,"0,293s",PASSED
verifyResponseStatusCode,,,2018-10-24 17:54:56,2018-10-24 17:54:56,"0,002s",FAILED
,,,,,,
Test Cases/API/API smoke,,,2018-10-24 17:54:56,2018-10-24 17:54:56,"0,170s",FAILED
"Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(APIs/API test, [Prefix:Prefix, URL:URLE]))",,,2018-10-24 17:54:56,2018-10-24 17:54:56,"0,159s",PASSED
verifyResponseStatusCode,,,2018-10-24 17:54:56,2018-10-24 17:54:56,"0,003s",FAILED
,,,,,,
Test Cases/API/API smoke,,,2018-10-24 17:54:56,2018-10-24 17:54:56,"0,311s",FAILED
"Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(APIs/API test, [Prefix:Prefix, URL:URLE]))",,,2018-10-24 17:54:56,2018-10-24 17:54:56,"0,298s",PASSED
verifyResponseStatusCode,,,2018-10-24 17:54:56,2018-10-24 17:54:56,"0,002s",FAILED
,,,,,,
Test Cases/API/API smoke,,,2018-10-24 17:54:56,2018-10-24 17:54:57,"0,166s",FAILED
"Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(APIs/API test, [Prefix:Prefix, URL:URLE]))",,,2018-10-24 17:54:56,2018-10-24 17:54:57,"0,152s",PASSED
verifyResponseStatusCode,,,2018-10-24 17:54:57,2018-10-24 17:54:57,"0,004s",FAILED
,,,,,,
