Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke,Chrome 70.0.3538.64,,2018-10-25 08:19:24,2018-10-25 08:20:11,"46,495s",PASSED
,,,,,,
Test Cases/Logins test,Chrome 70.0.3538.64,,2018-10-25 08:19:25,2018-10-25 08:19:53,"27,998s",PASSED
openBrowser,Chrome 70.0.3538.64,,2018-10-25 08:19:26,2018-10-25 08:19:47,"20,960s",PASSED
setText,Chrome 70.0.3538.64,,2018-10-25 08:19:47,2018-10-25 08:19:49,"2,431s",PASSED
setText,Chrome 70.0.3538.64,,2018-10-25 08:19:49,2018-10-25 08:19:50,"0,759s",PASSED
click,Chrome 70.0.3538.64,,2018-10-25 08:19:50,2018-10-25 08:19:50,"0,694s",PASSED
verifyElementVisible,Chrome 70.0.3538.64,,2018-10-25 08:19:50,2018-10-25 08:19:52,"1,618s",PASSED
closeBrowser,Chrome 70.0.3538.64,,2018-10-25 08:19:52,2018-10-25 08:19:53,"0,901s",PASSED
,,,,,,
Test Cases/Logins test,Chrome 70.0.3538.64,,2018-10-25 08:19:53,2018-10-25 08:20:11,"17,931s",PASSED
openBrowser,Chrome 70.0.3538.64,,2018-10-25 08:19:53,2018-10-25 08:20:05,"12,101s",PASSED
setText,Chrome 70.0.3538.64,,2018-10-25 08:20:05,2018-10-25 08:20:07,"2,387s",PASSED
setText,Chrome 70.0.3538.64,,2018-10-25 08:20:07,2018-10-25 08:20:08,"0,691s",PASSED
click,Chrome 70.0.3538.64,,2018-10-25 08:20:08,2018-10-25 08:20:09,"0,513s",PASSED
verifyElementVisible,Chrome 70.0.3538.64,,2018-10-25 08:20:09,2018-10-25 08:20:10,"1,408s",PASSED
closeBrowser,Chrome 70.0.3538.64,,2018-10-25 08:20:10,2018-10-25 08:20:11,"0,815s",PASSED
