Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke,Chrome 69.0.3497.100,,2018-10-16 17:29:12,2018-10-16 17:29:31,"19,077s",PASSED
,,,,,,
Test Cases/Login page check,Chrome 69.0.3497.100,,2018-10-16 17:29:12,2018-10-16 17:29:18,"6,480s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-16 17:29:12,2018-10-16 17:29:17,"4,342s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-16 17:29:17,2018-10-16 17:29:17,"0,261s",PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-16 17:29:17,2018-10-16 17:29:18,"0,730s",PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-16 17:29:18,2018-10-16 17:29:18,"0,067s",PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-16 17:29:18,2018-10-16 17:29:18,"0,082s",PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-16 17:29:18,2018-10-16 17:29:18,"0,077s",PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-16 17:29:18,2018-10-16 17:29:18,"0,073s",PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-16 17:29:18,2018-10-16 17:29:18,"0,051s",PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-16 17:29:18,2018-10-16 17:29:18,"0,057s",PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-16 17:29:18,2018-10-16 17:29:18,"0,059s",PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-16 17:29:18,2018-10-16 17:29:18,"0,054s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-16 17:29:18,2018-10-16 17:29:18,"0,099s",PASSED
,,,,,,
Test Cases/Logins test,Chrome 69.0.3497.100,,2018-10-16 17:29:18,2018-10-16 17:29:25,"6,174s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-16 17:29:19,2018-10-16 17:29:21,"2,553s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-16 17:29:21,2018-10-16 17:29:21,"0,226s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-16 17:29:21,2018-10-16 17:29:23,"1,293s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-16 17:29:23,2018-10-16 17:29:23,"0,270s",PASSED
click,Chrome 69.0.3497.100,,2018-10-16 17:29:23,2018-10-16 17:29:23,"0,153s",PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-16 17:29:23,2018-10-16 17:29:25,"1,330s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-16 17:29:25,2018-10-16 17:29:25,"0,105s",PASSED
,,,,,,
Test Cases/Logins test,Chrome 69.0.3497.100,,2018-10-16 17:29:25,2018-10-16 17:29:31,"5,969s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-16 17:29:25,2018-10-16 17:29:27,"2,718s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-16 17:29:27,2018-10-16 17:29:28,"0,224s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-16 17:29:28,2018-10-16 17:29:29,"1,218s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-16 17:29:29,2018-10-16 17:29:29,"0,233s",PASSED
click,Chrome 69.0.3497.100,,2018-10-16 17:29:29,2018-10-16 17:29:29,"0,106s",PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-16 17:29:29,2018-10-16 17:29:30,"1,352s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-16 17:29:30,2018-10-16 17:29:31,"0,094s",PASSED
