Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
API,,,2018-10-17 16:10:06,2018-10-17 16:10:15,"8,500s",ERROR
,,,,,,
Test Cases/API/API smoke,,,2018-10-17 16:10:07,2018-10-17 16:10:13,"5,854s",ERROR
"Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(APIs/API test, [Prefix:Prefix, URL:URLE]))",,,2018-10-17 16:10:07,2018-10-17 16:10:12,"4,897s",PASSED
verifyResponseStatusCode,,,2018-10-17 16:10:12,2018-10-17 16:10:12,"0,005s",PASSED
,,,,,,
Test Cases/API/API smoke,,,2018-10-17 16:10:13,2018-10-17 16:10:14,"0,947s",ERROR
"Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(APIs/API test, [Prefix:Prefix, URL:URLE]))",,,2018-10-17 16:10:13,2018-10-17 16:10:14,"0,878s",PASSED
verifyResponseStatusCode,,,2018-10-17 16:10:14,2018-10-17 16:10:14,"0,002s",PASSED
,,,,,,
Test Cases/API/API smoke,,,2018-10-17 16:10:14,2018-10-17 16:10:15,"0,964s",ERROR
"Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(APIs/API test, [Prefix:Prefix, URL:URLE]))",,,2018-10-17 16:10:14,2018-10-17 16:10:15,"0,932s",PASSED
verifyResponseStatusCode,,,2018-10-17 16:10:15,2018-10-17 16:10:15,"0,001s",PASSED
