Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke,Chrome 70.0.3538.77,,2018-10-29 14:15:22,2018-10-29 14:15:48,"26,847s",PASSED
,,,,,,
Test Cases/Logins test,Chrome 70.0.3538.77,,2018-10-29 14:15:22,2018-10-29 14:15:38,"15,776s",PASSED
openBrowser,Chrome 70.0.3538.77,,2018-10-29 14:15:24,2018-10-29 14:15:33,"8,604s",PASSED
setText,Chrome 70.0.3538.77,,2018-10-29 14:15:33,2018-10-29 14:15:35,"2,124s",PASSED
setText,Chrome 70.0.3538.77,,2018-10-29 14:15:35,2018-10-29 14:15:35,"0,301s",PASSED
click,Chrome 70.0.3538.77,,2018-10-29 14:15:35,2018-10-29 14:15:36,"0,904s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-10-29 14:15:36,2018-10-29 14:15:38,"2,258s",PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-10-29 14:15:38,2018-10-29 14:15:38,"0,142s",PASSED
,,,,,,
Test Cases/Logins test,Chrome 70.0.3538.77,,2018-10-29 14:15:38,2018-10-29 14:15:48,"10,049s",PASSED
openBrowser,Chrome 70.0.3538.77,,2018-10-29 14:15:38,2018-10-29 14:15:43,"4,824s",PASSED
setText,Chrome 70.0.3538.77,,2018-10-29 14:15:43,2018-10-29 14:15:45,"1,608s",PASSED
setText,Chrome 70.0.3538.77,,2018-10-29 14:15:45,2018-10-29 14:15:45,"0,267s",PASSED
click,Chrome 70.0.3538.77,,2018-10-29 14:15:45,2018-10-29 14:15:46,"1,179s",PASSED
verifyElementVisible,Chrome 70.0.3538.77,,2018-10-29 14:15:46,2018-10-29 14:15:48,"1,924s",PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-10-29 14:15:48,2018-10-29 14:15:48,"0,197s",PASSED
