Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Advanced,Chrome 70.0.3538.67,,2018-10-24 16:43:15,2018-10-24 16:44:21,"1m - 5,108s",FAILED
,,,,,,
Test Cases/Payments/SmartPayment,Chrome 70.0.3538.67,,2018-10-24 16:43:16,2018-10-24 16:43:38,"22,107s",PASSED
callTestCase,Chrome 70.0.3538.67,,2018-10-24 16:43:17,2018-10-24 16:43:30,"12,586s",PASSED
click,Chrome 70.0.3538.67,,2018-10-24 16:43:30,2018-10-24 16:43:30,"0,081s",PASSED
click,Chrome 70.0.3538.67,,2018-10-24 16:43:30,2018-10-24 16:43:30,"0,187s",PASSED
setText,Chrome 70.0.3538.67,,2018-10-24 16:43:30,2018-10-24 16:43:31,"0,834s",PASSED
setText,Chrome 70.0.3538.67,,2018-10-24 16:43:31,2018-10-24 16:43:31,"0,443s",PASSED
setText,Chrome 70.0.3538.67,,2018-10-24 16:43:31,2018-10-24 16:43:32,"0,277s",PASSED
delay,Chrome 70.0.3538.67,,2018-10-24 16:43:32,2018-10-24 16:43:33,"1,015s",PASSED
click,Chrome 70.0.3538.67,,2018-10-24 16:43:33,2018-10-24 16:43:33,"0,275s",PASSED
"Statement - If (CountryStep1 == ""Czech Republic"")",Chrome 70.0.3538.67,,2018-10-24 16:43:33,2018-10-24 16:43:33,"0,001s",PASSED
"Statement - Else If (CountryStep1 == ""Bulgaria"")",Chrome 70.0.3538.67,,2018-10-24 16:43:33,2018-10-24 16:43:33,"0,001s",PASSED
Statement - Else,Chrome 70.0.3538.67,,2018-10-24 16:43:33,2018-10-24 16:43:37,"4,583s",PASSED
click,Chrome 70.0.3538.67,,2018-10-24 16:43:37,2018-10-24 16:43:38,"0,111s",PASSED
click,Chrome 70.0.3538.67,,2018-10-24 16:43:38,2018-10-24 16:43:38,"0,626s",PASSED
verifyElementVisible,Chrome 70.0.3538.67,,2018-10-24 16:43:38,2018-10-24 16:43:38,"0,040s",PASSED
,,,,,,
Test Cases/Payments/SmartPayment,Chrome 70.0.3538.67,,2018-10-24 16:43:38,2018-10-24 16:43:54,"15,666s",PASSED
callTestCase,Chrome 70.0.3538.67,,2018-10-24 16:43:38,2018-10-24 16:43:48,"9,350s",PASSED
click,Chrome 70.0.3538.67,,2018-10-24 16:43:48,2018-10-24 16:43:48,"0,066s",PASSED
click,Chrome 70.0.3538.67,,2018-10-24 16:43:48,2018-10-24 16:43:48,"0,180s",PASSED
setText,Chrome 70.0.3538.67,,2018-10-24 16:43:48,2018-10-24 16:43:49,"1,206s",PASSED
setText,Chrome 70.0.3538.67,,2018-10-24 16:43:49,2018-10-24 16:43:49,"0,310s",PASSED
setText,Chrome 70.0.3538.67,,2018-10-24 16:43:49,2018-10-24 16:43:50,"0,221s",PASSED
delay,Chrome 70.0.3538.67,,2018-10-24 16:43:50,2018-10-24 16:43:51,"1,005s",PASSED
click,Chrome 70.0.3538.67,,2018-10-24 16:43:51,2018-10-24 16:43:51,"0,267s",PASSED
"Statement - If (CountryStep1 == ""Czech Republic"")",Chrome 70.0.3538.67,,2018-10-24 16:43:51,2018-10-24 16:43:53,"2,221s",PASSED
click,Chrome 70.0.3538.67,,2018-10-24 16:43:53,2018-10-24 16:43:53,"0,114s",PASSED
click,Chrome 70.0.3538.67,,2018-10-24 16:43:53,2018-10-24 16:43:54,"0,601s",PASSED
verifyElementVisible,Chrome 70.0.3538.67,,2018-10-24 16:43:54,2018-10-24 16:43:54,"0,044s",PASSED
,,,,,,
Test Cases/Payments/SmartPayment,Chrome 70.0.3538.67,,2018-10-24 16:43:54,2018-10-24 16:44:20,"26,377s",FAILED
callTestCase,Chrome 70.0.3538.67,,2018-10-24 16:43:54,2018-10-24 16:44:05,"10,580s",PASSED
click,Chrome 70.0.3538.67,,2018-10-24 16:44:05,2018-10-24 16:44:05,"0,093s",PASSED
click,Chrome 70.0.3538.67,,2018-10-24 16:44:05,2018-10-24 16:44:05,"0,186s",PASSED
setText,Chrome 70.0.3538.67,,2018-10-24 16:44:05,2018-10-24 16:44:06,"1,027s",PASSED
setText,Chrome 70.0.3538.67,,2018-10-24 16:44:06,2018-10-24 16:44:06,"0,435s",PASSED
setText,Chrome 70.0.3538.67,,2018-10-24 16:44:06,2018-10-24 16:44:07,"0,225s",PASSED
delay,Chrome 70.0.3538.67,,2018-10-24 16:44:07,2018-10-24 16:44:08,"1,007s",PASSED
click,Chrome 70.0.3538.67,,2018-10-24 16:44:08,2018-10-24 16:44:08,"0,182s",PASSED
"Statement - If (CountryStep1 == ""Czech Republic"")",Chrome 70.0.3538.67,,2018-10-24 16:44:08,2018-10-24 16:44:08,"0,001s",PASSED
"Statement - Else If (CountryStep1 == ""Bulgaria"")",Chrome 70.0.3538.67,,2018-10-24 16:44:08,2018-10-24 16:44:20,"12,593s",FAILED
