Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
API smoke,,,2018-10-24 20:25:35,2018-10-24 20:25:40,"5,476s",PASSED
,,,,,,
Test Cases/API/API test,,,2018-10-24 20:25:35,2018-10-24 20:25:36,"0,785s",PASSED
"Statement - resp = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(APIs/API request, [URLE:URLE]))",,,2018-10-24 20:25:36,2018-10-24 20:25:36,"0,256s",PASSED
Statement - responseCode = dataResponse,,,2018-10-24 20:25:36,2018-10-24 20:25:36,"0,003s",PASSED
verifyResponseStatusCode,,,2018-10-24 20:25:36,2018-10-24 20:25:36,"0,015s",PASSED
,,,,,,
Test Cases/API/API test,,,2018-10-24 20:25:36,2018-10-24 20:25:36,"0,098s",PASSED
"Statement - resp = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(APIs/API request, [URLE:URLE]))",,,2018-10-24 20:25:36,2018-10-24 20:25:36,"0,060s",PASSED
Statement - responseCode = dataResponse,,,2018-10-24 20:25:36,2018-10-24 20:25:36,"0,001s",PASSED
verifyResponseStatusCode,,,2018-10-24 20:25:36,2018-10-24 20:25:36,"0,003s",PASSED
,,,,,,
Test Cases/API/API test,,,2018-10-24 20:25:36,2018-10-24 20:25:36,"0,126s",PASSED
"Statement - resp = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(APIs/API request, [URLE:URLE]))",,,2018-10-24 20:25:36,2018-10-24 20:25:36,"0,098s",PASSED
Statement - responseCode = dataResponse,,,2018-10-24 20:25:36,2018-10-24 20:25:36,"0,002s",PASSED
verifyResponseStatusCode,,,2018-10-24 20:25:36,2018-10-24 20:25:36,"0,003s",PASSED
,,,,,,
Test Cases/API/API test,,,2018-10-24 20:25:36,2018-10-24 20:25:36,"0,079s",PASSED
